node_id,round,time_s,acc
0,1,4.768553972,26.200000000
0,2,5.156949997,30.950000000
0,3,5.527459860,32.830000000
0,4,5.892706156,34.830000000
0,5,6.297963858,35.230000000
0,6,6.665753603,32.250000000
0,7,7.060386658,36.250000000
0,8,7.460629463,35.380000000
0,9,7.831746101,36.690000000
0,10,8.216207743,36.130000000
0,11,8.582381010,37.350000000
0,12,8.942766666,37.320000000
0,13,9.305064678,38.630000000
0,14,9.666128397,37.970000000
0,15,10.037560225,37.950000000
0,16,10.407796144,32.870000000
0,17,10.772941113,34.450000000
0,18,11.132997751,37.070000000
0,19,11.495886564,36.280000000
0,20,11.854755640,36.690000000
0,21,12.221538544,38.380000000
0,22,12.605067492,37.810000000
0,23,12.960758448,37.760000000
0,24,13.331825495,36.590000000
0,25,13.701777697,36.200000000
0,26,14.083805561,36.020000000
0,27,14.452839375,37.200000000
0,28,14.819175005,39.060000000
0,29,15.176492453,36.970000000
0,30,15.533895254,36.800000000
0,31,15.902042150,36.580000000
0,32,16.278398037,36.680000000
0,33,16.659719229,36.710000000
0,34,17.019826174,36.750000000
0,35,17.389659643,36.640000000
0,36,17.755804539,34.850000000
0,37,18.116704702,34.510000000
0,38,18.477117300,37.250000000
0,39,18.860947609,36.750000000
0,40,19.229789257,36.700000000
0,41,19.607177019,37.700000000
0,42,19.972054720,34.580000000
0,43,20.361304998,34.920000000
0,44,20.730051756,34.340000000
0,45,21.104884386,35.660000000
0,46,21.474007845,35.510000000
0,47,21.851067066,35.970000000
0,48,22.239804506,38.760000000
0,49,22.602205753,37.990000000
0,50,22.962743759,36.650000000
0,51,23.321182013,38.710000000
0,52,23.685719252,36.370000000
0,53,24.059740067,36.950000000
0,54,24.435691833,39.070000000
0,55,24.800194979,38.750000000
0,56,25.159599543,37.330000000
0,57,25.517043114,37.820000000
0,58,25.881237030,37.680000000
0,59,26.285737514,37.690000000
0,60,26.662575006,37.660000000
0,61,27.040836096,37.400000000
0,62,27.427380562,37.410000000
0,63,27.814656734,37.480000000
0,64,28.180441141,37.400000000
0,65,28.565801859,37.420000000
0,66,28.957757235,37.750000000
0,67,29.323271036,37.740000000
0,68,29.691128731,37.330000000
0,69,30.052472353,37.360000000
0,70,30.416194916,37.070000000
0,71,30.785917044,38.460000000
0,72,31.159781218,38.360000000
0,73,31.536107540,38.210000000
0,74,31.913774252,38.060000000
0,75,32.272102594,37.970000000
0,76,32.635835886,37.570000000
0,77,33.010232925,37.410000000
0,78,33.371953487,37.630000000
0,79,33.741638422,37.580000000
0,80,34.110971451,37.440000000
0,81,34.477298498,37.510000000
0,82,34.840475082,37.370000000
0,83,35.197941303,37.340000000
0,84,35.564147949,37.330000000
0,85,35.930393934,37.500000000
0,86,36.293576002,37.790000000
0,87,36.655895710,37.710000000
0,88,37.032020092,37.700000000
0,89,37.402750015,37.600000000
0,90,37.774437666,38.020000000
0,91,38.138158798,37.930000000
0,92,38.502552509,37.940000000
0,93,38.860983133,37.930000000
0,94,39.218005180,37.810000000
0,95,39.585322618,37.940000000
0,96,39.945646048,37.970000000
0,97,40.313877583,37.960000000
0,98,40.681638241,38.160000000
0,99,41.111878157,33.200000000
0,100,41.480673313,35.500000000
0,101,41.837246895,36.080000000
0,102,42.193833590,37.690000000
0,103,42.560142040,36.760000000
0,104,42.926709175,34.590000000
0,105,43.304191351,36.400000000
0,106,43.669373512,36.330000000
0,107,44.034377337,35.780000000
0,108,44.387017965,35.710000000
0,109,44.763445377,35.730000000
0,110,45.146836042,35.690000000
0,111,45.515819311,36.130000000
0,112,45.877561808,36.050000000
0,113,46.244474173,35.730000000
0,114,46.614669085,35.900000000
0,115,46.985370398,35.920000000
0,116,47.356138706,37.930000000
0,117,47.717581511,37.920000000
0,118,48.097156763,37.980000000
0,119,48.470767260,39.250000000
0,120,48.843642712,38.920000000
0,121,49.219050169,37.190000000
0,122,49.581132412,39.310000000
0,123,49.948774576,39.070000000
0,124,50.308782101,38.440000000
0,125,50.686035156,39.180000000
0,126,51.061538935,40.050000000
0,127,51.426044941,39.670000000
0,128,51.794343948,39.450000000
0,129,52.172176838,39.240000000
0,130,52.542835951,38.670000000
0,131,52.906143427,36.890000000
0,132,53.286508322,37.260000000
0,133,53.649380445,38.100000000
0,134,54.037040234,38.240000000
0,135,54.406969309,40.130000000
0,136,54.782519817,39.800000000
0,137,55.145447254,38.950000000
0,138,55.507037163,38.970000000
0,139,55.877022266,40.830000000
0,140,56.239172220,40.090000000
0,141,56.617790937,39.850000000
0,142,56.988476515,37.990000000
0,143,57.354560375,37.910000000
0,144,57.738747597,37.930000000
0,145,58.125270128,37.900000000
0,146,58.491790771,37.850000000
0,147,58.852016211,38.810000000
0,148,59.212500572,39.620000000
0,149,59.568063736,39.840000000
0,150,59.942458868,39.840000000
0,151,60.327543974,36.270000000
0,152,60.689231396,39.160000000
0,153,61.051225901,38.530000000
0,154,61.422600031,38.810000000
0,155,61.788317919,38.660000000
0,156,62.147776604,39.190000000
0,157,62.528866053,40.100000000
0,158,62.906792879,37.950000000
0,159,63.268932581,38.600000000
0,160,63.636388302,37.820000000
0,161,64.005668879,40.340000000
0,162,64.365222692,40.160000000
0,163,64.726223469,40.120000000
0,164,65.083586216,39.640000000
0,165,65.444506645,39.710000000
0,166,65.816982269,39.710000000
0,167,66.181684256,39.630000000
0,168,66.564175129,39.650000000
0,169,66.938447952,39.630000000
0,170,67.306778669,39.600000000
0,171,67.669064045,39.700000000
0,172,68.069986820,37.930000000
0,173,68.431696653,39.990000000
0,174,68.804481745,35.540000000
0,175,69.163864613,37.950000000
0,176,69.524360657,35.520000000
0,177,69.900827646,37.170000000
0,178,70.265115261,36.310000000
0,179,70.624160767,35.990000000
0,180,70.977147102,35.970000000
0,181,71.336434364,36.070000000
0,182,71.692240238,37.640000000
0,183,72.051091194,38.360000000
0,184,72.423876047,38.420000000
0,185,72.786667347,35.530000000
0,186,73.149595737,35.280000000
0,187,73.505875587,37.580000000
0,188,73.879655123,38.220000000
0,189,74.266895533,38.190000000
0,190,74.634169340,38.380000000
0,191,74.998342752,37.800000000
0,192,75.381619215,37.700000000
0,193,75.756658077,37.350000000
0,194,76.132662296,37.610000000
0,195,76.528379679,37.510000000
0,196,76.902677774,37.550000000
0,197,77.305547953,37.470000000
0,198,77.693113327,37.480000000
0,199,78.050453663,37.500000000
0,200,78.430021048,38.260000000
0,201,78.801234484,39.620000000
0,202,79.166819572,39.580000000
0,203,79.519026756,39.580000000
0,204,79.886208057,39.570000000
0,205,80.247244358,39.580000000
0,206,80.617000818,39.590000000
0,207,80.972508907,39.580000000
0,208,81.336666822,39.550000000
0,209,81.695709467,39.550000000
0,210,82.059437513,39.550000000
0,211,82.423603058,39.550000000
0,212,82.788844347,39.540000000
0,213,83.143486261,39.540000000
0,214,83.502455235,39.540000000
0,215,83.860218287,39.530000000
0,216,84.219154119,39.630000000
0,217,84.590881824,39.620000000
0,218,84.955232620,39.600000000
