node_id,round,time_s,loss
0,1,4.903180361,0.563865928
0,2,5.514014244,0.415377636
0,3,6.126421928,0.513690290
0,4,6.712249517,0.433208107
0,5,7.285738707,0.407555924
0,6,7.858246088,0.361076948
0,7,8.454488754,0.330555634
0,8,9.037794352,0.325981774
0,9,9.606697559,0.284016840
0,10,10.219010115,0.262535408
0,11,10.815753222,0.281857496
0,12,11.389626980,0.264196619
0,13,11.963740826,0.233725361
0,14,12.560033560,0.205376304
0,15,13.151718140,0.213231624
0,16,13.750876665,0.231575625
0,17,14.321981668,0.167238386
0,18,14.927596807,0.185131553
0,19,15.547401428,0.196459067
0,20,16.125817776,0.179420962
0,21,16.711762190,0.170902299
0,22,17.291308641,0.214763562
0,23,17.881709814,0.184519852
0,24,18.463178158,0.161704223
0,25,19.087844610,0.173517126
0,26,19.675549269,0.174836278
0,27,20.254441023,0.164574642
0,28,20.849383116,0.143904480
0,29,21.426425457,0.199831239
0,30,22.029592276,0.164285579
0,31,22.646599770,0.149757841
0,32,23.233753920,0.182118982
0,33,23.833466530,0.182028508
0,34,24.418211699,0.146877597
0,35,24.989045143,0.144588594
0,36,25.559038401,0.149890909
0,37,26.133693933,0.157524421
0,38,26.732668877,0.153553415
0,39,27.312392950,0.129620915
0,40,27.887647390,0.132819365
0,41,28.490649939,0.147543245
0,42,29.087645531,0.136484611
0,43,29.669908285,0.190363280
0,44,30.276832819,0.118456582
0,45,30.908863544,0.142153883
0,46,31.502559900,0.170736120
0,47,32.074329853,0.197722222
0,48,32.666624069,0.157563430
0,49,33.267991066,0.150562188
0,50,33.841633081,0.156189428
0,51,34.424317360,0.172456129
0,52,35.003739834,0.138778107
0,53,35.584445238,0.143343869
0,54,36.186044693,0.142194107
0,55,36.799256802,0.149593321
0,56,37.477407217,0.194813791
0,57,38.064750910,0.186920360
0,58,38.662416697,0.159289777
0,59,39.263378620,0.132843201
0,60,39.840066910,0.139232143
0,61,40.414706945,0.114035851
0,62,41.021376610,0.148101642
0,63,41.600486755,0.157999656
0,64,42.199732780,0.158433356
0,65,42.785375595,0.115534282
0,66,43.355170488,0.159959536
0,67,43.954311609,0.158250007
0,68,44.545494080,0.150538891
0,69,45.144925833,0.116271988
0,70,45.737153292,0.169331679
0,71,46.318222046,0.129202814
0,72,46.902649879,0.159869043
0,73,47.500351191,0.136252088
0,74,48.095073700,0.150395700
0,75,48.676334620,0.149920166
0,76,49.283957720,0.165672452
0,77,49.872709990,0.106588340
0,78,50.451921940,0.117473546
0,79,51.029477835,0.211068139
0,80,51.610629320,0.170501584
0,81,52.201258898,0.185828362
0,82,52.793157816,0.183984193
0,83,53.385341406,0.152084262
0,84,53.957432032,0.129176898
0,85,54.531092405,0.157185848
0,86,55.139642477,0.182075762
0,87,55.705766916,0.128502607
0,88,56.287391663,0.140882272
0,89,56.867533684,0.152696595
0,90,57.440212727,0.120534889
0,91,58.024296284,0.167608175
0,92,58.600919008,0.125755245
0,93,59.186228037,0.163278989
0,94,59.770784855,0.125859828
0,95,60.347689152,0.123313063
0,96,60.922383070,0.197875910
0,97,61.504098654,0.136981278
0,98,62.124968052,0.147941960
0,99,62.707750797,0.124979142
0,100,63.299664021,0.133059269
0,101,63.877129078,0.138617917
0,102,64.487183094,0.163645860
0,103,65.065706491,0.141358233
0,104,65.648453474,0.130807624
0,105,66.229560852,0.156791305
0,106,66.805249453,0.135434851
0,107,67.414381266,0.114509847
0,108,68.002427101,0.186351121
0,109,68.607819796,0.133187876
0,110,69.193169594,0.115954364
0,111,69.756823063,0.141167728
0,112,70.329720020,0.128002087
0,113,70.901240349,0.130617142
0,114,71.483195305,0.138190649
0,115,72.119761229,0.119626218
0,116,72.685332060,0.142665072
0,117,73.270298958,0.118998886
0,118,73.858794212,0.111582092
0,119,74.443310261,0.116787911
0,120,75.025601625,0.130631129
0,121,75.610051870,0.138955563
0,122,76.223215342,0.132129038
0,123,76.829773664,0.120177588
0,124,77.399487019,0.131031323
0,125,78.051772356,0.132092852
0,126,78.710503340,0.161873710
0,127,79.308585644,0.176296910
0,128,79.886018991,0.159685081
0,129,80.459216833,0.133408641
0,130,81.030180931,0.143542402
0,131,81.636287689,0.140561619
0,132,82.232786894,0.159258390
0,133,82.805320501,0.172100878
0,134,83.401936531,0.118400388
0,135,83.994164944,0.130628557
0,136,84.584054232,0.134494772
0,137,85.150444746,0.151792856
0,138,85.738832474,0.144934733
0,139,86.332649231,0.121560288
0,140,86.924042940,0.147495342
0,141,87.505134821,0.138329496
0,142,88.085085392,0.152391044
0,143,88.698714256,0.131442179
0,144,89.268351555,0.125490080
0,145,89.867367268,0.120253650
0,146,90.497969389,0.218255850
0,147,91.084970951,0.136834284
0,148,91.659737349,0.135869090
0,149,92.271423340,0.116715720
0,150,92.852242470,0.157527053
0,151,93.450177908,0.182650231
0,152,94.035218716,0.191953585
0,153,94.605378389,0.125915224
0,154,95.212577820,0.118209821
0,155,95.787030935,0.154309882
0,156,96.395374060,0.133446940
0,157,97.041850567,0.123900084
0,158,97.642828226,0.160547991
0,159,98.228043556,0.094832388
0,160,98.830572844,0.121305974
0,161,99.389879227,0.129303754
0,162,99.980806828,0.123656843
0,163,100.544194460,0.126393794
0,164,101.169573069,0.163480134
0,165,101.811217070,0.132302481
0,166,102.441458464,0.150293768
0,167,103.007417440,0.132860993
0,168,103.649709225,0.120246400
0,169,104.233338833,0.119147395
0,170,104.809556484,0.142168310
0,171,105.387472153,0.104254643
0,172,105.949225426,0.155406456
0,173,106.554405689,0.171138160
0,174,107.141439915,0.161429046
0,175,107.721371174,0.140256545
0,176,108.354493856,0.136337166
0,177,108.956065893,0.118512251
0,178,109.587600708,0.205633009
0,179,110.166516781,0.236144620
0,180,110.741348267,0.149448708
0,181,111.332557201,0.134863878
0,182,111.902453899,0.115402030
0,183,112.486008883,0.137945132
0,184,113.079732895,0.152932617
0,185,113.660422802,0.134676553
0,186,114.226267576,0.139323390
0,187,114.830961943,0.105713358
0,188,115.436682463,0.117165588
0,189,116.011768579,0.105668006
0,190,116.579408884,0.142522702
0,191,117.152463198,0.141316279
0,192,117.737658739,0.124848775
0,193,118.314086199,0.129195654
0,194,118.887167931,0.128323277
0,195,119.469673395,0.095530122
0,196,120.045794964,0.139180580
0,197,120.643403769,0.132409198
0,198,121.215396643,0.126965000
0,199,121.799932718,0.112932416
0,200,122.408499002,0.141206871
0,201,122.982965946,0.123931688
0,202,123.575598001,0.099044307
0,203,124.161498308,0.150965341
0,204,124.724527597,0.141229960
0,205,125.310975790,0.099682832
0,206,125.922885180,0.138991412
0,207,126.583079100,0.109162588
0,208,127.167474985,0.114613822
0,209,127.758401394,0.101720507
0,210,128.348484039,0.133688323
0,211,128.921178579,0.177389779
0,212,129.524820328,0.164643971
0,213,130.112776756,0.108941732
0,214,130.732414722,0.105781447
0,215,131.301926851,0.124579982
0,216,131.903181076,0.300836286
0,217,132.508138180,0.146330652
0,218,133.097712278,0.205404742
0,219,133.679380894,0.140432910
0,220,134.256388426,0.125195641
0,221,134.830480814,0.109810771
0,222,135.408693314,0.144687093
0,223,135.980164051,0.122432466
0,224,136.560735464,0.130530391
0,225,137.151556253,0.165100569
0,226,137.764708042,0.113683222
0,227,138.343529224,0.120579086
0,228,138.925686836,0.163054366
0,229,139.496229172,0.121257403
0,230,140.094108820,0.184070228
0,231,140.684453726,0.130261813
0,232,141.275540590,0.131645110
0,233,141.863570929,0.112552823
0,234,142.441250801,0.217720245
0,235,143.023111582,0.127237062
0,236,143.602247000,0.179932705
0,237,144.195061922,0.137461018
0,238,144.774708033,0.122474971
0,239,145.357229471,0.114550554
0,240,145.936851501,0.127167294
0,241,146.516605139,0.126494035
0,242,147.093645573,0.156599910
0,243,147.680186272,0.137133354
0,244,148.295227528,0.130490454
0,245,148.878668785,0.113481335
0,246,149.483568192,0.104343555
0,247,150.093523026,0.133020970
0,248,150.681967020,0.103057604
0,249,151.294017315,0.160557692
0,250,151.888236046,0.113225503
0,251,152.467011929,0.132637982
0,252,153.080207586,0.133466641
0,253,153.660569668,0.115146610
0,254,154.249247074,0.131744025
0,255,154.827823877,0.121205232
0,256,155.431933403,0.149378248
0,257,156.059345722,0.119682827
0,258,156.650662899,0.130587199
0,259,157.240450859,0.137078589
0,260,157.834907293,0.127313381
0,261,158.426341057,0.112127827
0,262,159.022677660,0.196579334
0,263,159.601809502,0.115730104
0,264,160.203170061,0.160261514
0,265,160.797024012,0.152965744
0,266,161.376753569,0.125649688
0,267,161.989441633,0.101707542
0,268,162.565102339,0.108272055
0,269,163.147430897,0.113359302
0,270,163.731450081,0.123944705
0,271,164.314780712,0.111375457
0,272,164.900702953,0.110126702
0,273,165.478278160,0.143631593
0,274,166.065451860,0.140364575
0,275,166.656425953,0.122480212
0,276,167.267454147,0.143500114
0,277,167.862717628,0.115993180
0,278,168.446004152,0.105980267
0,279,169.035676479,0.145319430
0,280,169.625077724,0.131083043
0,281,170.211069345,0.130478733
0,282,170.804327726,0.114108548
0,283,171.392144203,0.101078925
0,284,172.006244898,0.108114263
0,285,172.603454113,0.154881840
0,286,173.229068995,0.159672720
0,287,173.802887440,0.130937608
0,288,174.385724306,0.105135335
0,289,174.991046429,0.109785057
0,290,175.595478296,0.110305318
0,291,176.178369999,0.129873979
0,292,176.758898973,0.130906627
0,293,177.346887350,0.116171164
0,294,177.922870159,0.110275997
0,295,178.510996580,0.108759729
0,296,179.136718035,0.110754408
0,297,179.716228008,0.156041150
0,298,180.293319225,0.131382599
0,299,180.908989668,0.092279211
0,300,181.489348650,0.100524861
0,301,182.097928762,0.150624151
0,302,182.679035425,0.112871914
0,303,183.261838436,0.130160714
0,304,183.864878654,0.100783754
0,305,184.458371878,0.123506400
0,306,185.083158493,0.160184380
0,307,185.686787128,0.134808706
0,308,186.288077831,0.120782407
0,309,186.914673328,0.216915001
0,310,187.499513149,0.147734390
